# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,1093
# gyro_offset_counts_y,-320
# gyro_offset_counts_z,-19

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
2.850118,2787,12274,10602,42,-48,-50,-1051,272,-31
2.860137,2798,12302,10560,39,-45,-35,-1054,275,-16
2.870133,2801,12298,10556,37,-42,-26,-1056,278,-7
2.880835,2808,12285,10564,34,-35,-11,-1059,285,8
2.890116,2783,12255,10598,35,-30,-7,-1058,290,12
2.900095,2785,12233,10610,36,-25,-5,-1057,295,14
2.910108,2765,12207,10648,43,-24,-4,-1050,296,15
2.920128,2777,12228,10644,46,-31,-4,-1047,289,15
2.930145,2816,12237,10640,52,-42,4,-1041,278,23
2.940104,2912,12197,10692,57,-51,12,-1036,269,31
2.950114,2919,12166,10733,63,-67,18,-1030,253,37
2.960101,2926,12059,10806,87,-105,22,-1006,215,41
2.970094,2917,12023,10837,104,-119,17,-989,201,36
2.980114,2888,11989,10863,148,-136,-7,-945,184,12
2.990112,2892,11996,10857,172,-138,-22,-921,182,-3
3.000099,2897,12028,10836,222,-139,-48,-871,181,-29
3.010141,2848,12102,10767,244,-139,-50,-849,181,-31
3.020138,2840,12132,10747,264,-146,-48,-829,174,-29
3.030100,2832,12213,10613,298,-155,-44,-795,165,-25
3.040081,2813,12251,10566,309,-152,-45,-784,168,-26
3.050081,2780,12289,10538,328,-146,-50,-765,174,-31
3.060066,2706,12362,10455,334,-146,-52,-759,174,-33
3.070062,2690,12422,10406,337,-147,-53,-756,173,-34
3.080060,2681,12486,10340,339,-153,-49,-754,167,-30
3.090073,2715,12510,10293,336,-152,-47,-757,168,-28
3.100078,2693,12554,10227,328,-151,-47,-765,169,-28
3.110061,2699,12574,10177,322,-150,-51,-771,170,-32
3.120062,2686,12616,10142,302,-149,-57,-791,171,-38
3.130062,2678,12715,10037,286,-150,-58,-807,170,-39
3.140060,2722,12762,9982,270,-148,-59,-823,172,-40
3.150061,2798,12857,9862,230,-136,-57,-863,184,-38
3.160084,2829,12886,9815,206,-128,-53,-887,192,-34
3.170062,2893,12889,9811,160,-98,-46,-933,222,-27
3.180062,2901,12882,9817,135,-80,-41,-958,240,-22
3.190068,2922,12871,9832,94,-39,-29,-999,281,-10
3.200062,2971,12826,9865,75,-20,-22,-1018,300,-3
